id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15745694,"Spectacular New Construction, Great Location!",90247614,Angela,,Speer,39.71940067562546,-104.98265873652329,Entire home/apt,125,3,7,2018-09-23,0.30,1,0
15746223,"Cozy apartment, easy access to everything",3842099,Eva,,West Colfax,39.739474620777656,-105.03419613427032,Entire home/apt,70,1,170,2018-09-23,7.62,1,288
15746851,Iridescent art room. Yoga mat. Tea/coffee,47147095,Rob,,North Park Hill,39.75433142547808,-104.93918622121745,Private room,35,1,27,2018-10-15,1.19,5,34
15764973,Stylish Town Home Close to Mountains and the City!,4220435,Jordan,,Villa Park,39.73156702463741,-105.04980806034708,Entire home/apt,115,2,38,2018-10-14,1.60,2,55
15784629,Stunning Updated Historic Denver Home - Sleeps 11!,102095794,Adam & Nicole,,Congress Park,39.73666503237795,-104.95473271679124,Entire home/apt,129,1,49,2018-08-04,2.17,1,0
15787181,The 420 Experience at the Shan Inn,32013796,Shannon,,Montbello,39.79732018443374,-104.82812586562353,Private room,49,1,142,2018-10-04,5.97,2,356
15788708,Unique Historic Victorian Mansion near Downtown,102132807,Kyle,,City Park West,39.74811892259636,-104.97198537465624,Entire home/apt,400,2,45,2018-09-30,1.91,1,339
15800346,The Rocky Mountains Mountain Lodge in Denver,55726275,Sarsha,,Highland,39.76488412792939,-105.02068801736581,Entire home/apt,59,30,102,2018-09-17,4.43,7,97
15802190,Wash Park 100 yr old renovated home,16382247,William,,Washington Park West,39.704983502700706,-104.97945330831138,Entire home/apt,130,2,30,2018-08-12,1.28,1,0
15802763,The Sanctuary | Designed for Peace and Relaxation,3427031,Marcus,,Five Points,39.75985839385985,-104.99637675465642,Entire home/apt,159,1,165,2018-10-11,9.22,1,49
15802983,The Business Vacationer/420 Friendly,95500044,CoHost,,Union Station,39.74950799806781,-104.99690124928988,Private room,170,1,38,2018-10-14,2.98,3,55
15805779,Brand New 3BRM w Rooftop Views!,18948452,Lori,,Sunnyside,39.77066287390046,-105.00910786519907,Entire home/apt,425,2,48,2018-10-01,2.07,1,268
15807058,Shining Star in Uptown City Park area by Downtown,51945782,Amanda,,City Park West,39.74334740767308,-104.96836352202286,Entire home/apt,110,2,59,2018-10-14,3.74,1,29
15807172,Enjoy being close to ALL the FUN: Coors Field! 5,100700623,Aneissa,,Five Points,39.754471847950576,-104.98164396250294,Private room,62,2,122,2018-10-08,5.20,6,346
15807599,Luxury Living Brand New Construction! Sleeps 14!,101617046,Cole & Julie,,West Colfax,39.7460574402621,-105.02727408522283,Entire home/apt,279,1,101,2018-10-02,4.26,2,313
15817834,"Charming, Spacious South Denver Retreat",102357141,Ashley,,Cory - Merrill,39.69539687814618,-104.94679183149339,Entire home/apt,75,1,237,2018-10-17,10.39,1,195
15831072,Newly Renovated Studio in City Park,55376910,Kelsey,,Whittier,39.755635554642744,-104.96268578257931,Entire home/apt,79,1,232,2018-10-17,9.90,2,160
15832774,Quaint Apartment in Park Hill,9802402,Mark,,North Park Hill,39.75563659571361,-104.93293530334736,Entire home/apt,65,30,5,2017-03-20,0.21,1,259
15844892,Luxurious home-away-from-home in downtown area.,56267154,Daniel,,Cheesman Park,39.73326957989422,-104.97164470635047,Entire home/apt,135,2,74,2018-09-15,3.37,1,159
15845941,Home Away from Home ❤️,40334113,Victoria,,Chaffee Park,39.7877866438131,-105.02296574223602,Private room,49,1,107,2018-09-28,4.61,4,176
15846078,"Cozy, comfortable private suite in Mayfair.",102649781,Tama,,Hale,39.73371907485159,-104.92398787053938,Entire home/apt,70,2,133,2018-10-17,6.69,1,139
15854894,Stunning 3BR Victorian in the Heart of Denver,102738009,Brian,,Lincoln Park,39.727553992791236,-104.99512576711638,Entire home/apt,205,2,74,2018-10-03,3.16,1,321
15856463,"Upscale, roomy, newer house in perfect location",102755068,Paul,,Platt Park,39.69621761415106,-104.98557969461066,Private room,100,2,9,2018-09-06,0.41,1,83
15858761,Centrally Located Garden Level Apartment,85386528,Yara,,Valverde,39.71144899695412,-105.02163441297195,Entire home/apt,50,1,158,2018-01-28,6.80,1,0
15858900,HEART OF DENVER SUITE: SKYLINE VIEW GREAT LOCATION,5216325,Julia,,CBD,39.745669911835435,-104.99591840875156,Entire home/apt,95,30,1,2018-06-08,0.23,6,291
