id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30203727,5 Bedroom Downtown Denver Historic House.,17115379,John And Beth,,Baker,39.72505,-104.99117,Entire home/apt,450,1,22,2019-07-21,2.77,3,135
30204318,Downtown Denver Furnished 1 Bedroom Condo,24157036,Angela,,Union Station,39.75035,-104.99667,Entire home/apt,145,90,0,,,43,210
30245825,Private guest room in central Denver.,185550044,Marc,,Virginia Village,39.68339,-104.92811,Private room,50,2,1,2019-03-17,0.22,1,0
30268991,Cozy historical home in the Santa Fe Art District,555806,Simon,,Lincoln Park,39.73708,-105.00122,Entire home/apt,97,2,18,2019-07-04,2.34,1,7
30283715,Denver Highlands Urban Cabin,227446664,Johnny,,Berkeley,39.77817,-105.0396,Entire home/apt,89,1,22,2019-07-24,4.10,1,142
30287649,SantaFe Art District. Near Auraria 30DAY MIN,11583644,Brian,,Lincoln Park,39.72865,-104.99737,Entire home/apt,75,20,7,2019-07-21,0.88,1,282
30288324,"Beautiful Light-Filled Family Home, Central Denver",86887023,Alison And Randall,,Northeast Park Hill,39.76322,-104.92452,Entire home/apt,63,2,4,2019-05-26,0.57,1,0
30312111,Cozy City Park Apartment,227645916,Kathy,,City Park West,39.74534,-104.96154,Entire home/apt,65,30,3,2019-05-14,0.50,1,113
30312243,Beautiful Sunny Side Loft Apartment,25005399,Daniel & Jess,,Sunnyside,39.77582,-105.01935,Entire home/apt,105,1,38,2019-07-26,4.67,11,199
30325023,"Quiet, Comfortable 1 bedroom",197803947,Monica,,Washington Virginia Vale,39.70798,-104.9247,Private room,84,2,16,2019-07-20,2.30,1,14
30342326,Gorgeous 1100sf Carriage Home w/ Outdoor Space,5556349,Carey,,Baker,39.7244,-104.99371,Entire home/apt,85,2,6,2019-07-14,0.81,1,0
30348710,Denver 2br Apt with pool & jacuzzi near downtown,227323345,Revolution,,Five Points,39.76571,-104.98463,Entire home/apt,325,1,6,2019-06-23,0.76,2,55
30349203,3 Bedroom LoHi Denver Home,2188005,Kate,,Highland,39.76419,-105.0124,Entire home/apt,250,1,39,2019-07-25,5.94,1,41
30353391,"Corona Street Home- entire property, great privacy",227915915,Steve And Kathleen,,Platt Park,39.68178,-104.97507,Entire home/apt,164,1,26,2019-06-28,3.63,1,85
30354413,Beautiful Smart Home in Denver's Best Neighborhood,8473299,Matthew,,Highland,39.75965,-105.01179,Entire home/apt,69,2,37,2019-07-14,4.70,1,41
30355559,Apartment in Denver,119460697,Anna,,Washington Virginia Vale,39.70105,-104.90712,Entire home/apt,120,1,0,,,1,0
30367993,Beautiful City Views in the Center of Everything!,228002100,Joe And Rachel,,Union Station,39.75157,-104.99482,Entire home/apt,999,2,22,2019-07-21,2.82,1,15
30375318,The Wash Park West Residence | Sleeps 8,228109235,Laurence And Lauren,,Speer,39.71635,-104.97487,Entire home/apt,219,1,24,2019-07-14,3.33,1,79
30375348,"Spacious floor plan, parking included, pool table!",228109705,Dan And Nicholle,,Virginia Village,39.68282,-104.9189,Entire home/apt,199,1,12,2019-06-23,1.61,1,28
30379721,Trendy one bedroom in the heart of LoHi!,14971188,Jamie,,Highland,39.75602,-105.01358,Entire home/apt,95,1,12,2019-01-17,1.53,1,0
