id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24782778,"Cozy home close to downtown, hiking, and $2 tacos!",187385126,Sophie,,Chaffee Park,39.78411,-105.00853,Entire home/apt,96,14,2,2018-10-12,0.19,1,0
24805072,Denver *Close to the city and nearby parks,187471816,Julie,,Mar Lee,39.69305,-105.03335,Private room,41,1,27,2019-04-14,2.31,2,84
24808232,Mid-Century Modern Urban Retreat,187557806,Sorin,,Montclair,39.72918,-104.9065,Entire home/apt,179,2,15,2019-04-21,2.00,1,0
24809940,Cute and Close!,97417100,Elizabeth,,Sunnyside,39.78225,-105.02422,Entire home/apt,140,2,5,2018-09-23,0.49,1,0
24824003,Trails Meet,187169915,Joan,,Speer,39.71818,-104.98436,Entire home/apt,79,1,24,2019-04-20,7.74,1,0
24828537,Upscale West Colfax Townhouse across from the Stadium,70563805,Chris,,West Colfax,39.74252,-105.0277,Entire home/apt,184,1,65,2019-04-22,5.69,11,134
24832919,The Loft - Wash Park Carriage House,12608517,Shane,,Washington Park West,39.70345,-104.98224,Entire home/apt,79,2,24,2019-03-25,2.15,1,123
24834745,Savor the Rustic Charm at a Historic Mansion in Trendy LoHi,44369106,Michael,,Highland,39.76253,-105.02107,Entire home/apt,299,2,2,2019-01-31,0.18,5,10
24835406,"Historic Landmark Home, Top Floor, Sleeps 8+",44369106,Michael,,Highland,39.76316,-105.02048,Entire home/apt,299,2,0,,,5,11
24846197,Walk to the Broncos Stadium from a Designer Condo,70563805,Chris,,West Colfax,39.74394,-105.02712,Entire home/apt,88,1,91,2019-04-21,7.80,11,132
24847694,NEW! Downtown Denver Home - 1 Mile to City Park!,151394248,Evolve,,Whittier,39.75462,-104.97003,Entire home/apt,310,2,0,,,32,324
24848902,Upgraded and Remodeled Downtown Home close to Attractions,187548757,Nelson,,Five Points,39.75227,-104.97474,Entire home/apt,800,2,7,2019-04-14,0.63,2,302
24852135,Downtown Luxury 1+ Month Rental w/ Skyline Views!,143045923,Michael,,North Capitol Hill,39.74433,-104.97821,Entire home/apt,175,30,14,2018-12-31,1.30,1,329
24856267,Denver Urban Oasis~ Remodeled Bungalow,187902805,Luba,,Sunnyside,39.77066,-105.00186,Entire home/apt,130,2,79,2019-04-26,6.89,1,27
24868230,Beautiful Historic Highlands Bungalow,45376758,Kelly,,Highland,39.76778,-105.02005,Entire home/apt,200,2,8,2018-08-07,0.75,1,0
24870700,Bunk Bed in Shared Room,163844374,Sierra,,Hampden,39.67151,-104.87279,Shared room,18,1,34,2019-04-12,2.87,28,364
24875887,New 3 bedroom home. Outstanding Stapleton location,44176296,Neil,,Stapleton,39.76643,-104.89052,Entire home/apt,144,4,7,2019-03-03,0.71,1,274
24877066,Rocky Mountain Travelers Hub,163844374,Sierra,,Hampden,39.67157,-104.8729,Shared room,21,1,16,2019-03-28,1.40,28,365
24889234,Denver Bungalow near DU/Wash Park/Old South Pearl,14293784,TJ And Hank,,Platt Park,39.68604,-104.98228,Private room,75,2,10,2018-11-20,0.94,1,1
24893063,"Mountain views, urban trails, & close to it all!",188199544,Claire,,Stapleton,39.76009,-104.87426,Entire home/apt,129,2,36,2019-04-14,3.66,1,181
24895145,700 Square Feet Furnished in Capital Hill,51632806,Jason,,Speer,39.72587,-104.98516,Entire home/apt,80,3,3,2018-06-16,0.27,1,0
24906976,SW Denver Home Theater Apartment,180031850,Caren,,Harvey Park South,39.6559,-105.04019,Entire home/apt,55,2,56,2019-04-24,5.28,1,90
24909977,Modern Duplex in Congress Park,152625025,Kristen,,Congress Park,39.73716,-104.95002,Entire home/apt,300,4,0,,,1,0
24911417,Unique space downtown with garage parking and pool,92155452,Denet,,Five Points,39.75724,-104.98803,Entire home/apt,102,1,18,2018-09-02,1.57,1,0
24920710,Cozy House in Top Denver Location! Dog Friendly,25542872,Eli,,Berkeley,39.77681,-105.04659,Entire home/apt,120,3,18,2018-09-23,1.62,1,0
24921975,The Urban Cyclists' Retreat,160530264,Alex,,Capitol Hill,39.73468,-104.98301,Entire home/apt,60,1,81,2019-04-08,7.64,1,24
24931284,Charming & Spacious Wash Park 1 BD Escape!,83062586,Tracy,,Washington Park West,39.70085,-104.98154,Entire home/apt,68,1,9,2019-04-11,0.78,2,117
24948102,Modern Townhome!!! City and Mtn Views!! Sleeps 6,188621572,Tom & Ann,,Sloan Lake,39.74685,-105.03026,Entire home/apt,175,2,35,2019-01-06,3.17,1,95
24959377,Historic & Charming Bungalow,10125161,Nina,,West Highland,39.76937,-105.02935,Entire home/apt,250,2,1,2019-01-01,0.26,1,1
24962636,Central Denver- MMJ Friendly √ Excellent Location!,178075399,Joey,,Capitol Hill,39.73068,-104.98416,Entire home/apt,76,2,29,2019-04-12,2.82,1,136
24965772,"LoHi, sleeps 10, walk everywhere, comfy house!",63819719,Jacob & Whitney,,Highland,39.75945,-105.01205,Entire home/apt,299,2,16,2019-04-21,1.46,2,150
24992798,Catalonian-Themed Bungalow in Historic Five Points,2877887,Glen And Camille,,Five Points,39.75324,-104.97482,Entire home/apt,120,1,148,2019-04-12,12.83,4,59
24993544,Industrial modern home in the heart of Denver.,98105043,Tamara,,Sunnyside,39.77033,-105.00867,Entire home/apt,250,3,4,2018-07-04,0.39,1,29
24996201,"Classy, Clean, Comfortable Private Master Suite",65405395,Edith,,Gateway - Green Valley Ranch,39.78357,-104.74252,Private room,69,3,37,2019-04-25,3.95,1,86
25001622,Historic one bedroom carriage house apartment,186166480,Taylor,,Capitol Hill,39.73231,-104.9847,Entire home/apt,150,3,17,2019-03-11,1.51,2,351
25008400,Upscale Denver Townhouse,145077627,Eric,,Five Points,39.74874,-104.97341,Entire home/apt,249,3,23,2019-04-11,2.20,1,289
25012613,Blissful + Modern Dwelling | Walk to Mile High Stadium | Sleeps 4,189082397,Katherine,,Jefferson Park,39.75146,-105.02354,Entire home/apt,109,2,28,2019-04-21,2.53,1,63
25027450,"Denver City View House - Relax, Work, Play",158111816,Joseph,,Highland,39.76547,-105.00426,Entire home/apt,144,1,26,2019-04-19,7.43,1,178
25050332,LoHi Condo with a View,47342676,Elizabeth,,Highland,39.75761,-105.0116,Entire home/apt,150,3,6,2018-09-23,0.60,1,0
25051893,Home in the Highlands,14597468,Luke,,Chaffee Park,39.7862,-105.01589,Entire home/apt,71,30,2,2019-02-04,0.27,1,0
25054653,Master bed/bath with access to shared space,184631986,Justin,,Washington Virginia Vale,39.69551,-104.91137,Private room,48,1,30,2019-04-10,2.69,1,67
25055705,Comfy Highlands Private Garden Suite near downtown,30866599,Susan,,West Highland,39.76256,-105.04136,Private room,52,1,9,2019-04-08,1.38,1,48
25055975,Spacious and Modern Farmhouse-Style House Downtown,3697079,Grady,,Five Points,39.75401,-104.97904,Entire home/apt,28,2,65,2019-04-03,6.15,1,135
25056885,Live local! Flex chk-in/out! New lux townhome LoHi,187546441,Christina,,Highland,39.76728,-105.00867,Entire home/apt,191,1,31,2019-04-21,2.96,1,105
25058116,Happy Travelers Welcome - 1890's Victorian Casa Q,29217734,,,Lincoln Park,39.73195,-105.00152,Private room,55,1,107,2019-04-25,10.19,7,18
25070567,Denver Home with a park view,3670757,Madelyne,,Cheesman Park,39.73558,-104.96602,Entire home/apt,70,90,0,,,1,115
25072498,Stylish midcentury 2 bedroom condo in Capitol Hill,41184591,James,,Capitol Hill,39.73528,-104.98415,Entire home/apt,125,2,27,2019-03-24,2.48,2,48
25075393,Cozy Capitol Hill Apt with Rooftop Views,34143372,Linda,,Capitol Hill,39.72998,-104.98607,Entire home/apt,89,1,12,2018-07-02,1.07,1,0
25076034,DOWNTOWN DENVER LOFT NEAR 16TH ST MALL/LODO/RINO,179021033,Tucker,,Five Points,39.75441,-104.98962,Entire home/apt,119,1,47,2019-04-25,4.88,1,267
25080368,Clean and bright 2-room Apt in Stapleton Denver,14887057,Kari,,Stapleton,39.79197,-104.88047,Entire home/apt,99,1,30,2019-04-02,3.04,1,49
25080971,"Bright, Spacious Duplex in the heart of downtown",2877887,Glen And Camille,,Five Points,39.75183,-104.97444,Entire home/apt,330,2,0,,,4,242
25084283,Spectacular LoHi Craftsman; Remodeled Sleeps 6!,110451653,Jessica,,Highland,39.7626,-105.00557,Entire home/apt,199,1,34,2019-04-11,2.97,1,130
25088500,"2bd/1bath bungalow, historic City park downtown #2",26739841,Kammie,,Whittier,39.75355,-104.96096,Private room,55,1,12,2019-01-28,1.08,2,150
25098158,"Cozy duplex home in Berkeley/Denver, Colorado.",122720574,Natalie,,Berkeley,39.78003,-105.05292,Entire home/apt,95,1,33,2018-11-29,2.85,1,146
25112934,Cozy Cottage Centrally located near DT close2 mtns,181860855,Joanna & Adam,,Westwood,39.70826,-105.03514,Entire home/apt,80,2,50,2019-04-12,4.36,1,54
25127499,"Modern Townhome, Stunning Views, Central Location",5463954,Joseph,,City Park West,39.74787,-104.97293,Entire home/apt,200,1,5,2019-04-14,1.79,1,0
25130193,Private Apt near Dia/Airport,178227091,Mary,,Gateway - Green Valley Ranch,39.78524,-104.79635,Entire home/apt,74,2,62,2018-12-12,5.78,1,0
25131047,4 Queens★Close To DT★Denver's Best Neighborhood!,25005399,Daniel & Jess,,Berkeley,39.77275,-105.0485,Entire home/apt,290,2,16,2019-01-01,1.49,12,299
25133813,"Adventure Launchpad 
   (1BD, 1BA w/gym)",49246855,Sergio,,Villa Park,39.73266,-105.04376,Entire home/apt,198,2,39,2019-03-27,3.63,1,307
