listing_id,date
10415529,2016-06-22
10415529,2016-07-04
10415529,2016-07-25
10415529,2016-08-02
10415529,2016-08-08
10415529,2016-08-16
10415529,2016-08-22
10415529,2017-06-12
10415529,2017-06-26
10415529,2017-07-02
10415529,2017-07-23
10415529,2017-08-01
10415529,2017-08-13
16178010,2016-12-12
16178010,2016-12-17
16178010,2016-12-21
16178010,2016-12-31
16178010,2017-01-16
16178010,2017-03-19
1790072,2013-12-14
1790072,2013-12-23
1790072,2014-01-02
1790072,2014-01-15
1790072,2014-01-17
1790072,2014-01-21
1790072,2014-01-28
1790072,2014-02-03
1790072,2014-02-12
1790072,2014-02-15
1790072,2014-02-18
1790072,2014-03-02
1790072,2014-03-04
1790072,2014-03-15
1790072,2014-04-10
1790072,2014-04-15
1790072,2014-04-22
1790072,2014-04-29
1790072,2014-05-02
1790072,2014-05-27
1790072,2014-06-02
1790072,2014-06-13
1790072,2014-06-23
1790072,2014-06-28
1790072,2014-06-30
1790072,2014-07-03
1790072,2014-07-14
1790072,2014-07-21
1790072,2014-07-28
1790072,2014-08-02
1790072,2014-08-07
1790072,2014-08-13
1790072,2015-03-13
1790072,2015-03-26
1790072,2015-04-02
1790072,2015-04-18
1790072,2015-04-22
1790072,2015-04-27
1790072,2015-05-08
1790072,2015-05-15
1790072,2015-05-21
1790072,2015-05-25
1790072,2015-06-06
1790072,2015-06-16
1790072,2015-06-20
1790072,2015-07-16
1790072,2015-07-25
1790072,2015-07-30
1790072,2015-09-10
1790072,2015-10-04
1790072,2015-10-06
1790072,2015-10-16
1790072,2015-10-20
1790072,2015-11-16
1790072,2015-11-23
1790072,2016-02-15
1790072,2016-02-29
1790072,2016-03-16
1790072,2016-03-23
1790072,2016-04-01
1790072,2016-04-08
1790072,2016-04-25
1790072,2016-05-22
1790072,2016-05-24
1790072,2016-05-28
1790072,2016-06-03
1790072,2016-06-21
1790072,2016-06-30
1790072,2016-07-04
1790072,2016-07-08
1790072,2016-07-11
1790072,2016-07-16
1790072,2016-07-17
1790072,2016-07-20
1790072,2016-08-07
1790072,2016-08-21
1790072,2016-09-09
1790072,2016-09-15
1790072,2016-09-18
1790072,2016-09-30
1790072,2016-10-07
1790072,2016-10-14
1790072,2016-10-23
1790072,2016-11-02
1790072,2016-11-17
1790072,2017-09-09
8195340,2015-10-05
8195340,2015-10-09
8195340,2015-10-16
8195340,2015-10-19
8195340,2015-10-21
8195340,2015-10-24
8195340,2015-10-30
8195340,2015-11-02
8195340,2015-11-08
8195340,2015-11-11
8195340,2015-11-14
8195340,2015-11-21
8195340,2015-11-23
8195340,2015-12-01
8195340,2015-12-06
8195340,2015-12-20
8195340,2015-12-29
8195340,2016-01-02
8195340,2016-01-15
8195340,2016-01-18
8195340,2016-01-30
8195340,2016-02-07
8195340,2016-02-18
8195340,2016-02-20
8195340,2016-02-29
8195340,2016-03-04
8195340,2016-03-09
8195340,2016-03-11
8195340,2016-03-16
8195340,2016-03-19
8195340,2016-03-25
8195340,2016-04-02
8195340,2016-04-11
8195340,2016-04-22
8195340,2016-04-24
8195340,2016-05-08
8195340,2016-05-10
8195340,2016-05-16
8195340,2016-05-21
8195340,2016-05-24
8195340,2016-05-26
8195340,2016-06-01
8195340,2016-06-09
8195340,2016-06-14
8195340,2016-06-17
8195340,2016-06-19
8195340,2016-06-22
8195340,2016-06-26
8195340,2016-06-29
8195340,2016-07-02
8195340,2016-07-03
8195340,2016-07-17
8195340,2016-07-23
8195340,2016-07-27
8195340,2016-07-28
8195340,2016-08-01
8195340,2016-08-05
8195340,2016-08-10
8195340,2016-08-14
8195340,2016-08-27
8195340,2016-08-29
8195340,2016-09-05
8195340,2016-09-07
8195340,2016-09-10
8195340,2016-09-11
8195340,2016-09-18
8195340,2016-09-25
8195340,2016-09-28
8195340,2016-10-03
8195340,2016-10-08
8195340,2016-12-16
8195340,2016-12-24
8195340,2017-01-01
8195340,2017-04-30
8195340,2017-06-02
8195340,2017-07-29
8195340,2017-08-03
8195340,2017-08-09
8195340,2017-08-11
8195340,2017-08-14
8195340,2017-08-17
8195340,2017-08-24
8195340,2017-08-27
8195340,2017-08-31
8195340,2017-09-04
8195340,2017-09-12
8195340,2017-09-16
8195340,2017-09-18
8195340,2017-09-24
8195340,2017-09-27
8195340,2017-09-29
8195340,2017-10-07
8195340,2017-10-10
8195340,2017-10-14
8195340,2017-10-17
8195340,2017-10-22
8195340,2017-10-27
8195340,2017-11-07
8195340,2017-11-13
8195340,2017-11-20
10248217,2016-02-08
10248217,2016-02-14
10248217,2016-03-13
10248217,2016-04-01
10248217,2016-04-05
10248217,2016-04-17
10248217,2016-04-22
10248217,2016-05-02
10248217,2016-05-10
10248217,2016-05-16
10248217,2016-05-29
10248217,2016-06-12
10248217,2016-06-16
10248217,2016-07-09
10248217,2016-07-21
10248217,2016-08-01
10248217,2016-08-02
10248217,2016-08-09
10248217,2016-08-22
10248217,2016-09-05
10248217,2016-09-11
10248217,2016-10-08
