id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10995273,Stylish 2 story unit in Victorian Mansion,6294270,Dan,,Cole,39.77116125778247,-104.96779459390818,Entire home/apt,185,1,105,2018-11-26,3.43,2,167
11037671,420 friendly,48954452,Jack,,Sloan Lake,39.75638439849047,-105.05262859234652,Entire home/apt,94,3,135,2018-12-01,3.86,5,143
11042635,Modern HIGHLANDS Town home sleeps 8,16725984,Carlos,,West Highland,39.76308939802304,-105.0445786058357,Entire home/apt,170,30,2,2017-01-01,0.06,3,354
11048504,The Next Door Inn!,57342209,Jason,,Jefferson Park,39.757066310190545,-105.02121801059806,Entire home/apt,175,2,25,2018-11-05,0.72,1,341
11065664,Zen Get Away,50005108,Jaclyn E,,Hilltop,39.7228913318984,-104.90708971412876,Private room,67,1,44,2018-08-31,1.26,2,365
11070296,Distinct Denver Downtown Bungalow,5841854,Troy,,Five Points,39.752384289777275,-104.98665571598997,Entire home/apt,88,5,14,2016-09-08,0.41,1,0
11080835,Pied-a-terre in Vibrant Family Home,10161902,Rebecca,,Clayton,39.767486417901495,-104.95406269509519,Private room,42,1,243,2018-12-15,7.12,2,256
11106847,Bright Capitol Hill Condo,44669045,Audrey,,Capitol Hill,39.732870784353025,-104.98399206933917,Entire home/apt,110,3,30,2018-11-20,0.87,1,0
11119735,Half house near downtown,8289288,Jessica,,Cole,39.76305363385596,-104.97115329505391,Private room,120,2,12,2018-07-06,0.36,5,249
11120331,Historic house with hardwood floors,8289288,Jessica,,Cole,39.76478837591046,-104.97204724854804,Entire home/apt,209,2,90,2018-09-15,2.59,5,241
11123088,Denver Highlands Haven,57793441,Sean,,Sloan Lake,39.757563803005716,-105.02658515528978,Entire home/apt,126,2,87,2018-11-18,2.58,1,129
11127739,Upstairs @ Eric's - HipFunPad & Super Neighborhood,47832519,Eric,,Berkeley,39.76983958545256,-105.0434592267635,Entire home/apt,125,1,180,2018-12-05,5.32,1,357
11139532,Sleeps SIX! Luxurious Victorian by City Park,44515630,Christopher,,Clayton,39.76353326456938,-104.94870104694465,Entire home/apt,141,1,58,2018-01-28,1.74,1,147
11148272,Cozy sloan's lake home,959656,Kristina,,West Colfax,39.739629445491246,-105.04500773629961,Entire home/apt,99,3,3,2016-07-30,0.10,2,0
11165012,"Artist's Abode | Modern Arch., Platt Park, Denver",10531035,Jaime,,Platt Park,39.68678935490981,-104.98366755722066,Entire home/apt,210,2,10,2018-07-07,0.33,1,41
11191271,Peter's Place in West City Park,58252545,Christopher,,City Park West,39.74126464881918,-104.96606540980503,Entire home/apt,147,1,19,2016-09-27,0.55,1,0
11192056,Heart of Cap Hill living with DECK !,49223382,Kinga,,City Park West,39.74137486916712,-104.97185033973513,Entire home/apt,139,1,286,2018-12-04,8.34,5,321
11236853,Spacious Basement Studio Apartment,52648794,Wendy,,Indian Creek,39.688947226755936,-104.89894683831683,Private room,29,1,89,2018-12-08,2.73,1,163
